,name,x1,x2,y1,y2,classname,image
0,2756.png,69,126,294,392,face_with_mask,"[[[229 215 186]
  [229 215 186]
  [229 215 186]
  ...
  [234 224 189]
  [234 224 189]
  [234 224 189]]

 [[229 215 186]
  [229 215 186]
  [229 215 186]
  ...
  [234 224 189]
  [234 224 189]
  [234 224 189]]

 [[229 215 186]
  [229 215 186]
  [229 215 186]
  ...
  [234 224 189]
  [234 224 189]
  [234 224 189]]

 ...

 [[139  48  27]
  [143  52  31]
  [151  56  38]
  ...
  [139  68  26]
  [139  68  26]
  [139  68  26]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]"
1,2756.png,505,10,723,283,face_with_mask,"[[[229 215 186]
  [229 215 186]
  [229 215 186]
  ...
  [234 224 189]
  [234 224 189]
  [234 224 189]]

 [[229 215 186]
  [229 215 186]
  [229 215 186]
  ...
  [234 224 189]
  [234 224 189]
  [234 224 189]]

 [[229 215 186]
  [229 215 186]
  [229 215 186]
  ...
  [234 224 189]
  [234 224 189]
  [234 224 189]]

 ...

 [[139  48  27]
  [143  52  31]
  [151  56  38]
  ...
  [139  68  26]
  [139  68  26]
  [139  68  26]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]"
4,6098.jpg,360,85,728,653,face_no_mask,"[[[138 138 136]
  [139 139 137]
  [139 139 137]
  ...
  [ 97  97  97]
  [ 95  95  97]
  [ 94  94  96]]

 [[139 139 137]
  [139 139 137]
  [139 139 137]
  ...
  [ 97  97  97]
  [ 95  95  97]
  [ 93  93  95]]

 [[139 139 137]
  [139 139 137]
  [139 139 137]
  ...
  [ 97  97  97]
  [ 94  94  96]
  [ 92  92  94]]

 ...

 [[101 101 101]
  [101 101 101]
  [101 101 101]
  ...
  [195 196 190]
  [195 196 190]
  [195 196 190]]

 [[103 103 103]
  [103 103 103]
  [102 102 102]
  ...
  [195 196 190]
  [195 196 190]
  [195 196 190]]

 [[105 105 105]
  [104 104 104]
  [103 103 103]
  ...
  [195 196 190]
  [195 196 190]
  [195 196 190]]]"
7,4591.png,239,9,522,342,face_with_mask,"[[[199 127  78]
  [199 127  78]
  [199 127  78]
  ...
  [180 113  65]
  [180 113  65]
  [180 113  65]]

 [[199 127  78]
  [199 127  78]
  [199 127  78]
  ...
  [180 113  65]
  [180 113  65]
  [180 113  65]]

 [[200 128  80]
  [200 128  80]
  [200 128  80]
  ...
  [180 113  65]
  [180 113  65]
  [180 113  65]]

 ...

 [[ 74  25   5]
  [ 76  27   7]
  [ 76  27   7]
  ...
  [205 145 117]
  [205 145 117]
  [205 145 117]]

 [[ 67  21   1]
  [ 70  23   3]
  [ 71  24   4]
  ...
  [205 145 117]
  [205 145 117]
  [205 145 117]]

 [[ 62  16   0]
  [ 64  19   0]
  [ 66  21   1]
  ...
  [205 145 117]
  [205 145 117]
  [205 145 117]]]"
11,5525.jpg,262,18,484,319,face_no_mask,"[[[142  42  50]
  [142  42  50]
  [142  42  50]
  ...
  [188 189 183]
  [188 189 183]
  [188 189 183]]

 [[142  42  50]
  [142  42  50]
  [142  42  50]
  ...
  [188 189 183]
  [188 189 183]
  [188 189 183]]

 [[142  42  50]
  [142  42  50]
  [142  42  50]
  ...
  [188 189 183]
  [188 189 183]
  [188 189 183]]

 ...

 [[123  33  43]
  [124  32  43]
  [127  31  43]
  ...
  [192  60  74]
  [192  60  74]
  [192  60  74]]

 [[125  35  45]
  [126  34  45]
  [129  33  45]
  ...
  [189  57  71]
  [189  57  71]
  [189  57  71]]

 [[126  34  45]
  [127  34  45]
  [130  32  45]
  ...
  [190  58  72]
  [189  57  71]
  [189  57  71]]]"
12,5525.jpg,49,58,191,247,face_no_mask,"[[[142  42  50]
  [142  42  50]
  [142  42  50]
  ...
  [188 189 183]
  [188 189 183]
  [188 189 183]]

 [[142  42  50]
  [142  42  50]
  [142  42  50]
  ...
  [188 189 183]
  [188 189 183]
  [188 189 183]]

 [[142  42  50]
  [142  42  50]
  [142  42  50]
  ...
  [188 189 183]
  [188 189 183]
  [188 189 183]]

 ...

 [[123  33  43]
  [124  32  43]
  [127  31  43]
  ...
  [192  60  74]
  [192  60  74]
  [192  60  74]]

 [[125  35  45]
  [126  34  45]
  [129  33  45]
  ...
  [189  57  71]
  [189  57  71]
  [189  57  71]]

 [[126  34  45]
  [127  34  45]
  [130  32  45]
  ...
  [190  58  72]
  [189  57  71]
  [189  57  71]]]"
13,3911.png,49,26,389,476,face_no_mask,"[[[124 114 105]
  [124 114 105]
  [124 114 105]
  ...
  [141 134 123]
  [141 134 123]
  [154 148 138]]

 [[124 114 105]
  [124 114 105]
  [124 114 105]
  ...
  [142 135 124]
  [142 135 124]
  [142 135 124]]

 [[124 114 105]
  [124 114 105]
  [124 114 105]
  ...
  [142 135 124]
  [142 135 124]
  [142 135 124]]

 ...

 [[  0   0   0]
  [  1   1   1]
  [  2   2   2]
  ...
  [  7   7   7]
  [  8   8   8]
  [  7   7   7]]

 [[  0   0   0]
  [  1   1   1]
  [  2   2   2]
  ...
  [  7   7   7]
  [  9   9   9]
  [  7   7   7]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 12  12  12]
  [ 11  11  11]
  [ 10  10  10]]]"
16,4287.png,80,0,629,599,face_with_mask,"[[[139 139 127]
  [140 138 126]
  [139 137 125]
  ...
  [161 148 131]
  [161 148 131]
  [161 148 131]]

 [[156 156 144]
  [147 146 134]
  [144 142 130]
  ...
  [161 148 131]
  [161 148 131]
  [161 148 131]]

 [[174 175 163]
  [164 164 152]
  [162 160 148]
  ...
  [161 148 131]
  [161 148 131]
  [161 148 131]]

 ...

 [[165 170 174]
  [172 177 181]
  [167 172 176]
  ...
  [180 171 162]
  [180 171 162]
  [180 171 162]]

 [[168 173 177]
  [170 175 179]
  [161 166 170]
  ...
  [180 171 162]
  [180 171 162]
  [180 171 162]]

 [[171 176 180]
  [168 173 177]
  [158 163 167]
  ...
  [180 171 162]
  [180 171 162]
  [180 171 162]]]"
17,4893.png,179,8,664,599,face_with_mask,"[[[230 254 254]
  [230 254 254]
  [230 254 254]
  ...
  [239 239 239]
  [239 239 239]
  [255 255 255]]

 [[230 254 254]
  [230 254 254]
  [230 254 254]
  ...
  [239 239 239]
  [239 239 239]
  [255 255 255]]

 [[230 254 254]
  [230 254 254]
  [230 254 254]
  ...
  [239 239 239]
  [239 239 239]
  [255 255 255]]

 ...

 [[ 12  46  70]
  [ 50  83 101]
  [ 99 128 141]
  ...
  [239 239 239]
  [239 239 239]
  [255 255 255]]

 [[ 26  61  83]
  [ 35  67  85]
  [ 70  99 111]
  ...
  [239 239 239]
  [239 239 239]
  [255 255 255]]

 [[ 41  83  84]
  [ 40  82  84]
  [ 40  82  83]
  ...
  [ 56  99 100]
  [ 58 101 101]
  [ 59 102 102]]]"
19,1987.jpg,365,67,464,199,face_with_mask,"[[[127 127 117]
  [128 128 118]
  [126 123 116]
  ...
  [ 69  91 105]
  [ 56  75  89]
  [ 46  65  79]]

 [[ 76  76  66]
  [ 91  91  81]
  [114 111 104]
  ...
  [ 34  51  61]
  [ 36  50  59]
  [ 37  51  60]]

 [[ 34  34  24]
  [ 35  35  25]
  [ 42  39  32]
  ...
  [ 69  74  77]
  [ 74  78  81]
  [ 78  79  83]]

 ...

 [[ 65  62  47]
  [ 66  63  48]
  [ 65  63  48]
  ...
  [105  98  82]
  [112 105  87]
  [119 112  94]]

 [[ 63  60  45]
  [ 63  60  45]
  [ 62  60  45]
  ...
  [108 101  85]
  [114 107  89]
  [118 111  93]]

 [[ 64  61  46]
  [ 65  62  47]
  [ 64  62  47]
  ...
  [106  99  83]
  [107 100  82]
  [108 101  83]]]"
